([174, 168], 3, {'feature': 168, 0: {'feature': 174, 0: -1, 1: -1}, 1: {'feature': 174, 0: -1, 1: -1}}, 0.88)
([174, 168], 4, {'feature': 174, 0: {'feature': 168, 0: -1, 1: -1}, 1: {'feature': 168, 0: -1, 1: -1}}, 0.8565217391304348)
([117, 47], 0, {'feature': 47, 0: {'feature': 117, 0: -1, 1: -1}, 1: {'feature': 117, 0: -1, 1: -1}}, 0.86)
([117, 47], 1, {'feature': 47, 0: {'feature': 117, 0: -1, 1: -1}, 1: {'feature': 117, 0: -1, 1: -1}}, 0.9013043478260869)
([117, 47], 2, {'feature': 117, 0: {'feature': 47, 0: 2, 1: -1}, 1: {'feature': 47, 0: -1, 1: -1}}, 0.5230434782608696)
([117, 47], 3, {'feature': 117, 0: {'feature': 47, 0: -1, 1: -1}, 1: {'feature': 47, 0: -1, 1: -1}}, 0.88)
([117, 47], 4, {'feature': 117, 0: {'feature': 47, 0: -1, 1: -1}, 1: {'feature': 47, 0: -1, 1: -1}}, 0.8565217391304348)
([85, 29], 0, {'feature': 29, 0: {'feature': 85, 0: -1, 1: -1}, 1: {'feature': 85, 0: -1, 1: -1}}, 0.86)
([85, 29], 1, {'feature': 29, 0: {'feature': 85, 0: -1, 1: -1}, 1: {'feature': 85, 0: -1, 1: -1}}, 0.9013043478260869)
([85, 29], 2, {'feature': 85, 0: {'feature': 29, 0: -1, 1: 2}, 1: {'feature': 29, 0: 2, 1: -1}}, 0.5095652173913043)
([85, 29], 3, {'feature': 85, 0: {'feature': 29, 0: -1, 1: -1}, 1: {'feature': 29, 0: -1, 1: -1}}, 0.88)
([85, 29], 4, {'feature': 85, 0: {'feature': 29, 0: -1, 1: -1}, 1: {'feature': 29, 0: -1, 1: -1}}, 0.8565217391304348)
([138, 39], 0, {'feature': 138, 0: {'feature': 39, 0: -1, 1: -1}, 1: {'feature': 39, 0: -1, 1: -1}}, 0.86)
([138, 39], 1, {'feature': 39, 0: {'feature': 138, 0: -1, 1: -1}, 1: {'feature': 138, 0: -1, 1: -1}}, 0.9013043478260869)
([138, 39], 2, {'feature': 39, 0: {'feature': 138, 0: -1, 1: -1}, 1: {'feature': 138, 0: 2, 1: 2}}, 0.5291304347826087)
([138, 39], 3, {'feature': 39, 0: {'feature': 138, 0: -1, 1: -1}, 1: {'feature': 138, 0: -1, 1: -1}}, 0.88)
([138, 39], 4, {'feature': 138, 0: {'feature': 39, 0: -1, 1: -1}, 1: {'feature': 39, 0: -1, 1: -1}}, 0.8565217391304348)
([194, 127], 0, {'feature': 127, 0: {'feature': 194, 0: -1, 1: -1}, 1: {'feature': 194, 0: -1, 1: -1}}, 0.86)
([194, 127], 1, {'feature': 194, 0: {'feature': 127, 0: -1, 1: -1}, 1: {'feature': 127, 0: -1, 1: -1}}, 0.9013043478260869)
([194, 127], 2, {'feature': 127, 0: {'feature': 194, 0: 2, 1: -1}, 1: {'feature': 194, 0: -1, 1: -1}}, 0.5256521739130435)
([194, 127], 3, {'feature': 127, 0: {'feature': 194, 0: -1, 1: -1}, 1: {'feature': 194, 0: -1, 1: -1}}, 0.88)
([194, 127], 4, {'feature': 127, 0: {'feature': 194, 0: -1, 1: -1}, 1: {'feature': 194, 0: -1, 1: -1}}, 0.8565217391304348)
([34, 97], 0, {'feature': 97, 0: {'feature': 34, 0: -1, 1: -1}, 1: {'feature': 34, 0: -1, 1: -1}}, 0.86)
([34, 97], 1, {'feature': 34, 0: {'feature': 97, 0: -1, 1: -1}, 1: -1}, 0.9013043478260869)
